Equipment,ID1,ID2,FROM CO,FROM ST,FROM KV,TO CO,TO ST,TO KV,LIMIT_EXISTS,COMMENTS
LN,VIDALA_LEPA_LD,A,EES,VIDALA,115,LEPA,VIDALIA,115,YES,Chris Nguyen email 02/25/2013
LN,WINFLD_LEPA_LD,A,EES,WIN115,115,LEPA,WINLEP,115,YES,Chris Nguyen email 02/25/2013
LN,6935,T,NIPS,THAYER2,69,NIPS,THAYER2,69,NO,
XF,7,7,DPL,DARBY,138,DPL,DARBY,69,YES,
XF,2,2,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
XF,3,3,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
XF,4,4,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
XF,5,5,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
XF,TR7,7_LS_T_P,FE,LAKESHO3,138,FE,LAKESHO3,1,NO,
XF,TR8,8_LS_T_P,FE,LAKESHO4,138,FE,LAKESHO4,1,NO,
XF,101,101,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,102,102,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,103,103,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,XFMR,TR_1_138_161KV,AECI,MARIES,161,AECI,MARIES,138,YES, Requested by RTOPS 12/09/2014
XF,T4,T4,EES,NECHES,13,EES,NECHES,1,YES,Gerald Rusin Email 05/25/2013
XF,T4BC,T4,EES,NECHES,69,EES,NECHES,1,YES,Gerald Rusin Email 05/25/2013
XF,T4A,T4,EES,NECHES,138,EES,NECHES,13,YES,Gerald Rusin Email 05/25/2013
XF,P1,P_1,AEP,HALESBRA,138,AEP,HALESBRA,1,YES,
XF,2P,2_P,AEP,EWOOSTER,138,AEP,EWOOSTER,1,YES,
XF,T1P,T1_P,AEP,CANALROA,138,AEP,CANALROA,1,YES,
XF,X1P,X1_P,AEP,INDUSTRI,138,AEP,INDUSTRI,1,YES,
XF,T1_P,T1_P,AEP,ELYNCHBU,138,AEP,ELYNCHBU,1,YES,
XF,T1_P,T1_P,AEP,PEAKSVIE,138,AEP,PEAKSVIE,1,YES,
ZBR,BROOKNG_LD1,A,WAUE,BROOKNG,115,WAUE,BROOKNG,115,NO,Chris Nguyen email 05/16/2017
ZBR,BROOKNG_LD2,A,WAUE,BROOKNG,115,WAUE,BROOKNG,115,NO,Chris Nguyen email 05/16/2017
ZBR,N_WLSTN_LD,A,WAUE,N_WLSTN,115,WAUE,N_WLSTN,115,NO,Chris Nguyen email 05/16/2017
XF,T6,T6_230,EES,PTH,223,EES,PTH,1,YES,Seth Mayfield email 05/03/2018 MITT 2979
LN,BISHOP_BRAZ_LD,A,EES,BISHOP_E,138,EES,BECBSH,138,YES,Seth Mayfield 05/03/2018 email MITT 2991
XF,AT1,AT1_230,EES,COLY_E,233,EES,COLY_E,1,YES,Seth Mayfield Model Ticket #3305 11/8/18
XF,AT4,AT4_230,EES,COLY_E,233,EES,COLY_E,1,YES,Seth Mayfield Model Ticket #3305 11/8/18
XF,1P,1_P,AEP,DANVILLE,135.39,AEP,DANVILLE,1,NO,1 MVA 12/10/2018
XF,1P,1_P,AEP,EDANVILL,135.4,AEP,EDANVILL,1,NO,1 MVA 12/10/2018
XF,2P,2_P,AEP,FLOYD2,135.4,AEP,FLOYD2,1,NO,1 MVA 12/10/2018
XF,8P,8_P,AEP,HICKORYC,138,AEP,HICKORYC,1,NO,1 MVA 12/10/2018
XF,8S,8_S,AEP,HICKORYC,69,AEP,HICKORYC,1,NO,1 MVA 12/10/2018
XF,8T,8_T,AEP,HICKORYC,34.5,AEP,HICKORYC,1,NO,1 MVA 12/10/2018
XF,1P,1_P,AEP,WBASSETT,135.4,AEP,WBASSETT,1,NO,1 MVA 12/10/2018
XF,0B0E,WILDBERY_GSU,TVA,5MOSCOWT,161,TVA,5MOSCOWT,13,NO,1 MVA GSU 12/10/2018
XF,091H,8ENGLEAS_BK3,TVA,8GLEASON,500,TVA,8GLEASON,1,NO,1 MVA GSU 12/10/2018
XF,2_T1,T2_T1,ONT,KENT1,220,ONT,KENT1,1,YES,email from Clayton on 11/20/2019
XF,1_T1,T1_T1,ONT,KENT1,220,ONT,KENT1,1,YES,email from Clayton on 11/20/2019
XF,BK10,BK10_138,CIN,NOBLESVI,138,CIN,NOBLESVI,100,YES,email from Clayton on 11/20/2019
XF,BK1P,BK1P,CIN,08NALBNY,138,CIN,08NALBNY,1,YES,email from Clayton on 11/20/2019
XF,BK2P,BK2P,CIN,08NALBNY,138,CIN,08NALBNY,1,YES,email from Clayton on 11/20/2019			
LN,MARIES42_ZBR,1,AECI,MARIES,161,AECI,MARIES,161,YES,email from Clayton on 11/20/2019
LN,4MARIE_MARAE,1,AECI,MARIES,161,AECI,MARIES,161,YES,email from Clayton on 11/20/2019
LN,DB41ADIG4112_3,3,DECO,DB41A,120,DECO,DIG41,120,YES,email from Clayton on 11/20/2019
LN,DB41ADIG4112_2,2,DECO,DB41A,120,DECO,DIG41,120,YES,email from Clayton on 11/20/2019
LN,DB41ADIG4112_1,1,DECO,DB41A,120,DECO,DIG41,120,YES,email from Clayton on 11/20/2019
LN,D99AJ1DEAGL_1,1,DECO,D99AJ1,120,DECO,DEAGL,120,YES,line DB99ADEAGL12_1 renamed for Sep2020
LN,D99AJ2DEAGL_2,2,DECO,D99AJ2,120,DECO,DEAGL,120,YES,line DB99ADEAGL12_2 renamed for Sep2020
XF,TT1,TT18,AMIL,VERMILIO,138,AMIL,VERMILIO,1,YES,email from Greg on 2/4/2020
XF,TT2,TT28,AMIL,VERMILIO,138,AMIL,VERMILIO,1,YES,email from Greg on 2/4/2020
XF,BK1,BK1_138,CIN,NEWCASTL,138,CIN,NEWCASTL,100,YES,email from Greg on 2/14/2020
XF,BK2,BK2_138,CIN,NEWCASTL,138,CIN,NEWCASTL,100,YES,email from Greg on 2/14/2020
XF,BK1,BK1_230,CIN,ATTICA,230,CIN,ATTICA,100,YES,email from Greg Allcorn on 6/10/2020
XF,BK1,BK1_69,CIN,ATTICA,69,CIN,ATTICA,100,YES,email from Greg Allcorn on 6/10/2020
LN,NELSOG93434_1,1,DECO,NELSON2,345,DECO,G934,345,YES,email from Dan on 2/17/2020
XF,BK1,BK1_138,CIN,08SEYMOU,138,CIN,08SEYMOU,100,YES,email from Greg Allcorn on 08/12/2021
XF,BK2,BK2_138,CIN,08SEYMOU,138,CIN,08SEYMOU,100,YES,email from Greg Allcorn on 08/12/2021 
XF,BK9P,BK9P,CIN,08EDWRDS,138,CIN,08EDWRDS,1,YES,email from Dustin Vandeverter on 09/15/2021
XF,AT1,AT1_230,EES,TIG,230,EES,TIG,1,YES,MITT from Dustin Vandeverter on 09/27/2021
XF,AT2,AT2_230,EES,TIG,230,EES,TIG,1,YES,MITT from Dustin Vandeverter on 09/27/2021

