XF2,ONT,COMALC,T1,T1,4.16,A002
XF2,ONT,DESJOACH,1_T3,1_T3,13.8,2
XF2,ONT,DESJOACH,2_T3,2_T3,13.8,3
XF2,ONT,DESJOACH,3_T3,3_T3,13.8,4
XF2,ONT,DESJOACH,4_T3,4_T3,13.8,5
XF2,ONT,DUPLEX,3_T3,3_T3,13.8,15
XF2,ONT,DUPLEX,4_T3,4_T3,13.8,17
XF2,ONT,ECHORIVE,T1B,T1B,34.5,B003
XF2,ONT,GTAA,GT1,GT1,13.8,23
XF2,ONT,GTAA,GT2,GT2,13.8,25
XF2,ONT,GTAA,GT3,GT3,13.8,27
XF2,ONT,HAWTHOR1,9_T3,9_T3,13.4,94
XF2,ONT,KAKABEKA,T1,T1,4,11
XF2,ONT,KAKABEKA,T2,T2,4,12
XF2,ONT,KAKABEKA,T3,T3,4,13
XF2,ONT,KAKABEKA,T4,T4,4,14
XF2,ONT,KEELVALE,T1,T1,4.2,B001
XF2,ONT,KENILWOR,2_T3,2_T3,13.8,21
XF2,ONT,KENILWOR,3_T2,3_T2,13.8,23
XF2,ONT,MANBYE,8_T3,8_T3,13.4,43
XF2,ONT,MOOSONE1,T3C,T3C,1.52,C001
XF2,ONT,NPIROQFA,T1B,T1B,13.8,B015
XF2,ONT,NPIROQFA,T1C,T1C,13.8,B017
XF2,ONT,SAUNDER1,1_T3,1_T3,13.8,38
XF2,ONT,SAUNDER1,2_T3,2_T3,13.8,40
XF2,ONT,SAUNDER1,3_T3,3_T3,13.8,42
XF2,ONT,SAUNDER1,4_T3,4_T3,13.8,44
XF2,ONT,SPRUCEFL,5_T3,5_T3,13.8,20
XF2,ONT,SPRUCEFL,T6,T6,6.6,21
XF2,ONT,STRATHCO,T5C,T5C,4,D001
XF2,ONT,STRATHCO,T6C,T6C,4,D002
XF2,ONT,STRATHCO,T7C,T7C,4,D003
XF2,ONT,TBAYBOWA,T6,T6,13.8,C1
XF2,ONT,WELLS1,TR1,TR1,44,4
XF2,OPPD,SUB3455,T3_T,T3_T,13.8,0
XF2,OPPD,SUB3761,13,13,13.8,7
XF2,OTP,ASTORIA,TR13,TR13,41.6,5022
XF2,OTP,BUFFALO2,TR23,TR23,41.6,9003
XF2,OTP,CENTER2,TR13,TR13,13.8,9101
XF2,OTP,CLDONIA,TR13,TR13,13.8,9000
XF2,OTP,EDINBRG,TR13,TR13,41.6,9001
XF2,OTP,FRONTIER,TR23,TR23,13.8,4025
XF2,OTP,HENSEL,TR23,TR23,41.6,9002
XF2,OTP,LKPARKOT,T13,T13,13.8,1009
XF2,OTP,MAPLE_R,TR73,TR73,13.8,9011
XF2,OTP,PRAIRIE2,T23,T23,13.8,9100
XF2,OTP,PRAIRIE2,TR53,TR53,13.8,9002
XF2,OTP,PRAIRIE2,TR73,TR73,13.8,9003
XF2,OTP,PRAIRIE2,TR83,TR83,13.8,9023
XF2,OTP,THRVFLS,TR13,TR13,13.8,9000
XF2,OTP,WARSAW,TR13,TR13,13.8,9000
XF2,OTP,WILTON,TR23,TR23,13.8,9002
XF2,SECI,HARBINGR,C,C,13.8,4
XF2,SIPC,CARIERM2,T1_3,T1_3,12.5,32
XF2,SPC,QE_6,907L,907L,138,4
XF2,SPS,CHINADRW,TRT,TRT,13.2,54
XF2,SPS,COLE2,COLE31,COLE31,13.2,22
XF2,SPS,HOBBS,TRT,TRT,13.2,64
XF2,SPS,HOVEY_TP,HOVEY_TP31,HOVEY_TP31,13.8,31
XF2,SPS,INKBASIN,TR3,TR3,13.2,25
XF2,SPS,KIOWASPS,TRT,TRT,13.2,21
XF2,SPS,N_LOVING,TRT,TRT,13.2,35
XF2,SPS,RDRUNNER,TRT,TRT,13.2,57
XF2,SPS,RIVERVIE,RIV_G6XFMR,RIV_G6XFMR,13.8,54
XF2,WAUE,BISMARK2,KV3A3,KV3A3,13.2,39
XF2,WAUE,BISMARK2,KV8A3,KV8A3,12.5,9990
XF2,WAUE,BLAISDEL,KV2A3,KV2A3,13.8,9000
XF2,WAUE,CHAR_CK,KV2A3,KV2A3,13.8,52
XF2,WAUE,CRESTON,KY3A3,KY3A3,13.8,9001
XF2,WAUE,CRESTON,KY6A3,KY6A3,13.8,9000
XF2,WAUE,DKSNNDWP,TR13,TR13,13.2,9001
XF2,WAUE,GROTON,KU2A3,KU2A3,13.8,54
XF2,WAUE,KUMMRRDG,6_T,6_T,13.8,22
XF2,WAUE,NESET,KV2A3,KV2A3,13.8,9000
XF2,WAUE,PHILIP,KV1A3,KV1A3,13.2,9000
XF2,WAUE,TANDE,KU3A_3,KU3A_3,13.8,17
XF2,WAUE,VTHANLON,T2,T2,115,24
XF2,WAUE,WATFORD,KV1A3,KV1A3,13.2,9000
XF2,WAUE,WATFORD,KV2A3,KV2A3,13.2,9001
XF2,WAUE,WHEELOK,KV2A3,KV2A3,13.8,9000
XF2,WEC,GRANVILL,GRANVL_T1T,GRANVL_T1T,24.9,17
XF2,WPS,KEWAUNEE,T1,T1,20,40
XF2,WR,GORD,GORD_1,GORD_1,16.8,17
XF2,WR,GORD,GORD_2,GORD_2,24,18
XF2,WR,MURR,MURR_3MT,MURR_3MT,14.4,29
XF2,WR,NSES,NSES_3B,NSES_3B,12,1B
XF2,WR,WOLF,WOLF31,WOLF31,17.1,28
XF2,EAI,DELL,AT1T,AT1T,14,3024
XF2,EAI,DELL,AT2T,AT2T,14,2925
XF2,ALTW,HILLSIE,TR1,TR1,161,5000
XF2,MHEB,HERB,BK2_T,BK2_T,13.8,20
XF2,MHEB,CORN,BK4_T,BK4_T,13.8,33
XF2,MHEB,CORN,BK3_T,BK3_T,13.8,41
ZBR2,SPS,LT_HOUS1,SPS_118,1,115,2
XF2,MEC,SUB_56,Q56_9T1_WNDNG3,Q56_9T1_WNDNG3,13.8,715
LN2,ONT,LRSIMJCT,H9DE_ESXLO,1,118,4
LN2,ONT,LRSIMJCT,D12J_LOXJO,1,118,3
LN2,ONT,LRSIMJCT,D11J_LOXJO,1,118,2
LN2,ONT,LRSIMJCT,H10DE_ESXLO,1,118,1
LN2,ALTW,JAMAICA1,BAGLEJAMAI69_1,1,69,8006
XF2,WPS,HARRISNN,T1T,T1T,13.8,Z10
XF2,MEC,PLYMOTH,PLY_AC_WNDNG_3,PLY_AC_WNDNG_3,13.8,206
XF2,MEC,GRIMES,DGG_9T1_WNDNG3,DGG_9T1_WNDNG3,13.8,917
XF2,EES,GF_OUT,AT2_13_8,AT2_13_8,13.8,25
XF2,EES,GF_OUT,AT4_13_8,AT4_13_8,13.8,26
LN2,ONT,RAYNER,T1B_RAXWH,1,118,A005
LN2,ONT,KIDDCREE,P7G_KIXEC,1,118,A005
LN2,ONT,KIDDCREE,P91G_KIXKI,1,220,B005
LN2,ONT,HUNTLEY1,LINE46_18XHU,1,118,A001
LN2,ONT,TCPLVERM,K23D_VEXVE,1,220,A005
XF2,ONT,DRYDENWY,T3,T3,118,7945
XF2,ONT,DRYDENWY,T1,T1,118,7943
XF2,ONT,FROOD,T2,T2,69,4121
XF2,ONT,RAYNER,T1,T1,118,A004
XF2,ONT,CHALKRIV,T3,T3,2.4,B005
XF2,ONT,CHALKRIV,T4,T4,2.4,B006
XF2,ONT,BRIGHTO1,T1B,T1B,22.8,C008
XF2,ONT,FORTFRAN,T3C,T3C,44,1283
XF2,GRDA,CHECOT2,A,A,138,4
XF2,OKGE,OKTAHA,7_T,7_T,13.2,50
LN2,ONT,COPELND,T4CA_COXCO,1,118,21
LN2,ONT,COPELND,T2CA_COXCO,1,118,11
LN2,ONT,THUNDERB,B15_JAXTH,1,118,20
